cpus=4
          stress-2710  [002]  9231.160293599:          sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002]  9231.396219487: (+15445) sched_switch:         ngrok:555 [120] S ==> ngrok:552 [120]
           ngrok-552   [002]  9231.396247653: (+28166) sched_switch:         ngrok:552 [120] S ==> stress:2711 [120]
          stress-2711  [002]  9231.398816227: (+2568574) sched_wakeup:         kworker/2:0:2671 [120]<CANT FIND FIELD success> CPU:002
          stress-2711  [002]  9231.398821339: (+5112)  sched_switch:         stress:2711 [120] R ==> kworker/2:0:2671 [120]
     kworker/2:0-2671  [002]  9231.398841320: (+19981) sched_switch:         kworker/2:0:2671 [120] R ==> stress:2711 [120]
          stress-2711  [002]  9231.398845079: (+3759)  sched_wakeup:         kworker/2:0:2671 [120]<CANT FIND FIELD success> CPU:002
          stress-2711  [002]  9231.398848635: (+3556)  sched_switch:         stress:2711 [120] R ==> kworker/2:0:2671 [120]
     kworker/2:0-2671  [002]  9231.398858561: (+9926)  sched_switch:         kworker/2:0:2671 [120] D ==> stress:2711 [120]
          stress-2711  [002]  9231.398864598: (+6037)  sched_wakeup:         kworker/2:0:2671 [120]<CANT FIND FIELD success> CPU:002
          stress-2711  [002]  9231.398867264: (+2666)  sched_switch:         stress:2711 [120] R ==> kworker/2:0:2671 [120]
     kworker/2:0-2671  [002]  9231.398879413: (+12149) sched_switch:         kworker/2:0:2671 [120] W ==> stress:2711 [120]
          stress-2711  [002]  9231.405250227: (+6370814) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-2711  [002]  9231.405254820: (+4593)  sched_switch:         stress:2711 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9231.405267116: (+12296) sched_switch:         ngrok:515 [120] S ==> stress:2710 [120]
          stress-2710  [002]  9231.410807079: (+5539963) sched_switch:         stress:2710 [120] R ==> stress:2711 [120]
          stress-2711  [002]  9231.418810672: (+8003593) sched_switch:         stress:2711 [120] R ==> stress:2712 [120]
          stress-2712  [002]  9231.426838061: (+8027389) sched_wakeup:         kworker/2:0:2671 [120]<CANT FIND FIELD success> CPU:002
          stress-2712  [002]  9231.426849301: (+11240) sched_switch:         stress:2712 [120] R ==> kworker/2:0:2671 [120]
     kworker/2:0-2671  [002]  9231.426879135: (+29834) sched_switch:         kworker/2:0:2671 [120] W ==> stress:2709 [120]
          stress-2709  [002]  9231.434848246: (+7969111) sched_switch:         stress:2709 [120] R ==> stress:2710 [120]
          stress-2710  [002]  9231.442815968: (+7967722) sched_switch:         stress:2710 [120] R ==> stress:2711 [120]
          stress-2711  [002]  9231.444316153: (+1500185) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
          stress-2711  [002]  9231.444321412: (+5259)  sched_switch:         stress:2711 [120] R ==> ngrok:552 [120]
           ngrok-552   [002]  9231.444364301: (+42889) sched_switch:         ngrok:552 [120] S ==> stress:2712 [120]
