cpus=4
           <...>-2531  [002]  9142.036972161:          sched_switch:         trace-cmd:2531 [120] S ==> trace-cmd:2532 [120]
          <idle>-0     [002]  9142.613353233: (+4797)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9142.613361177: (+7944)  sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.653280881: (+39919704) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.653285770: (+4889)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9142.653295381: (+9611)  sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.662644140: (+9348759) sched_wakeup:         trace-cmd:2532 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.662648621: (+4481)  sched_switch:         swapper/2:0 [120] R ==> trace-cmd:2532 [120]
       trace-cmd-2532  [002]  9142.663348307: (+699686) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
       trace-cmd-2532  [002]  9142.663353955: (+5648)  sched_switch:         trace-cmd:2532 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9142.663368547: (+14592) sched_switch:         ngrok:515 [120] S ==> trace-cmd:2532 [120]
       trace-cmd-2532  [002]  9142.666914140: (+3545593) sched_switch:         trace-cmd:2532 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.703278529: (+36364389) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.703284325: (+5796)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9142.703304121: (+19796) sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.713354066: (+10049945) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.713358973: (+4907)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9142.713368362: (+9389)  sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.738916269: (+25547907) sched_wakeup:         kworker/2:1:2180 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.738932325: (+16056) sched_switch:         swapper/2:0 [120] R ==> kworker/2:1:2180 [120]
     kworker/2:1-2180  [002]  9142.738958640: (+26315) sched_switch:         kworker/2:1:2180 [120] W ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.753272269: (+14313629) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.753277288: (+5019)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9142.753287195: (+9907)  sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.753686640: (+399445) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.753691454: (+4814)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9142.753710751: (+19297) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.753784547: (+73796) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.753788825: (+4278)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9142.753796917: (+8092)  sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.763337084: (+9540167) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.763341973: (+4889)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9142.763351991: (+10018) sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.788507917: (+25155926) sched_wakeup:         trace-cmd:2532 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.788512565: (+4648)  sched_switch:         swapper/2:0 [120] R ==> trace-cmd:2532 [120]
       trace-cmd-2532  [002]  9142.792760788: (+4248223) sched_switch:         trace-cmd:2532 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.803270899: (+10510111) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.803277769: (+6870)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9142.803297547: (+19778) sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.803853232: (+555685) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.803858251: (+5019)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9142.803890732: (+32481) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.813347195: (+9456463) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.813352195: (+5000)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9142.813362102: (+9907)  sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.853266380: (+39904278) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.853271232: (+4852)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9142.853279787: (+8555)  sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.854053084: (+773297) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.854057417: (+4333)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
