cpus=4
       trace-cmd-2669  [000]  9208.304947649:          sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.595719481: (+259722) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.595724074: (+4593)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000]  9208.595734851: (+10777) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:000
           ngrok-555   [000]  9208.595747314: (+12463) sched_switch:         ngrok:555 [120] S ==> ngrok:517 [120]
           ngrok-517   [000]  9208.595758963: (+11649) sched_switch:         ngrok:517 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9208.605510740: (+9751777) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.605515981: (+5241)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9208.605525092: (+9111)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9208.644793740: (+39268648) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.644798148: (+4408)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000]  9208.644812499: (+14351) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9208.645439481: (+626982) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.645443907: (+4426)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9208.645452518: (+8611)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9208.645861333: (+408815) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.645866036: (+4703)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000]  9208.645879462: (+13426) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:000
