cpus=4
          <idle>-0     [000] 14880.765691584:          sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
           ngrok-553   [000] 14881.674474803: (+20463) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.723523636: (+49048833) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.723528321: (+4685)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.723540136: (+11815) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.724589302: (+1049166) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.724593821: (+4519)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.724612858: (+19037) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.724623358: (+10500) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.724627488: (+4130)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.724645988: (+18500) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.773694932: (+49048944) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.773700006: (+5074)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.773713599: (+13593) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.774762469: (+1048870) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.774767210: (+4741)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.774787654: (+20444) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.823836635: (+49048981) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.823841376: (+4741)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.823853302: (+11926) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.824902376: (+1049074) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.824907006: (+4630)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.824926524: (+19518) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.824936302: (+9778)  sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.824940487: (+4185)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.824959802: (+19315) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.874009117: (+49049315) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.874013765: (+4648)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.874025432: (+11667) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.875074543: (+1049111) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.875079098: (+4555)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.875198543: (+119445) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.945323654: (+70125111) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
