cpus=4
          stress-3672  [000] 14905.259367602:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:000
    kworker/u8:1-2871  [000] 14905.321254064: (+5537)  sched_switch:         kworker/u8:1:2871 [120] W ==> stress:3678 [120]
          stress-3678  [000] 14905.423548082: (+102294018) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3678  [000] 14905.423558471: (+10389) sched_switch:         stress:3678 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14905.423594157: (+35686) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14905.423621934: (+27777) sched_switch:         kworker/0:1H:67 [100] W ==> stress:3678 [120]
          stress-3678  [000] 14905.425805823: (+2183889) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3678  [000] 14905.425809879: (+4056)  sched_switch:         stress:3678 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14905.425825157: (+15278) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14905.425840786: (+15629) sched_switch:         kworker/0:1H:67 [100] W ==> stress:3678 [120]
          stress-3678  [000] 14905.426031342: (+190556) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:000
          stress-3678  [000] 14905.426034379: (+3037)  sched_switch:         stress:3678 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [000] 14905.426126675: (+92296) sched_switch:         kworker/u8:1:2871 [120] D ==> stress:3678 [120]
          stress-3678  [000] 14905.431250268: (+5123593) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3678  [000] 14905.431259231: (+8963)  sched_switch:         stress:3678 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14905.431287231: (+28000) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14905.431309490: (+22259) sched_switch:         kworker/0:1H:67 [100] W ==> stress:3678 [120]
          stress-3678  [000] 14905.431319971: (+10481) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:000
          stress-3678  [000] 14905.431322601: (+2630)  sched_switch:         stress:3678 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [000] 14905.431408916: (+86315) sched_wakeup:         kworker/u8:2:2863 [120]<CANT FIND FIELD success> CPU:000
    kworker/u8:1-2871  [000] 14905.431424564: (+15648) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/u8:1-2871  [000] 14905.431428879: (+4315)  sched_switch:         kworker/u8:1:2871 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14905.431466564: (+37685) sched_switch:         kworker/0:1H:67 [100] W ==> kworker/u8:2:2863 [120]
    kworker/u8:2-2863  [000] 14905.431476231: (+9667)  sched_switch:         kworker/u8:2:2863 [120] W ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [000] 14905.431502619: (+26388) sched_switch:         kworker/u8:1:2871 [120] W ==> stress:3678 [120]
          stress-3678  [000] 14905.436715694: (+5213075) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3678  [000] 14905.436719008: (+3314)  sched_switch:         stress:3678 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14905.436729194: (+10186) sched_switch:         kworker/0:1H:67 [100] D ==> stress:3678 [120]
          stress-3678  [000] 14905.436734675: (+5481)  sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3678  [000] 14905.436738231: (+3556)  sched_switch:         stress:3678 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14905.436744027: (+5796)  sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
