cpus=4
          stress-3674  [002] 14905.259426102:          sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:002
          stress-3679  [002] 14905.426000657: (+24834) sched_switch:         stress:3679 [120] D ==> stress:3676 [120]
          stress-3676  [002] 14905.426015694: (+15037) sched_switch:         stress:3676 [120] D ==> stress:3673 [120]
          stress-3673  [002] 14905.426034082: (+18388) sched_switch:         stress:3673 [120] D ==> stress:3674 [120]
          stress-3674  [002] 14905.426141342: (+107260) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14905.426146582: (+5240)  sched_switch:         stress:3674 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14905.426175082: (+28500) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14905.426199805: (+24723) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14905.426217027: (+17222) sched_switch:         ngrok:553 [120] S ==> stress:3674 [120]
          stress-3674  [002] 14905.431335527: (+5118500) sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14905.431348619: (+13092) sched_switch:         stress:3674 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14905.431381194: (+32575) sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3679  [002] 14905.431416231: (+35037) sched_switch:         stress:3679 [120] D ==> stress:3676 [120]
          stress-3676  [002] 14905.431439527: (+23296) sched_switch:         stress:3676 [120] D ==> stress:3680 [120]
          stress-3680  [002] 14905.431487657: (+48130) sched_wakeup:         stress:3673 [120]<CANT FIND FIELD success> CPU:002
          stress-3680  [002] 14905.437155731: (+5668074) sched_switch:         stress:3680 [120] R ==> stress:3673 [120]
          stress-3673  [002] 14905.437176453: (+20722) sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3673  [002] 14905.437179619: (+3166)  sched_switch:         stress:3673 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14905.437184897: (+5278)  sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3679  [002] 14905.437215397: (+30500) sched_switch:         stress:3679 [120] D ==> stress:3676 [120]
          stress-3676  [002] 14905.437242768: (+27371) sched_switch:         stress:3676 [120] D ==> stress:3673 [120]
          stress-3673  [002] 14905.437265471: (+22703) sched_switch:         stress:3673 [120] D ==> stress:3677 [120]
          stress-3677  [002] 14905.442026360: (+4760889) sched_wakeup:         stress:3673 [120]<CANT FIND FIELD success> CPU:002
          stress-3677  [002] 14905.442028786: (+2426)  sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3677  [002] 14905.442031768: (+2982)  sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3677  [002] 14905.442035156: (+3388)  sched_switch:         stress:3677 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14905.442129323: (+94167) sched_switch:         stress:3679 [120] D ==> stress:3673 [120]
          stress-3673  [002] 14905.442140527: (+11204) sched_switch:         stress:3673 [120] D ==> stress:3676 [120]
