CPU 3 is empty
cpus=4
       trace-cmd-2986  [002] 14461.426516943:          sched_switch:         trace-cmd:2986 [120] S ==> trace-cmd:2991 [120]
   task_server.a-2961  [002] 14462.505794105: (+3203)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14462.505803142: (+9037)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14462.515857346: (+10054204) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14462.515860587: (+3241)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14462.515870402: (+9815)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14462.537441198: (+21570796) sched_wakeup:         wpa_supplicant:528 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14462.537444587: (+3389)  sched_switch:         task_server.a:2961 [120] R ==> wpa_supplicant:528 [120]
  wpa_supplicant-528   [002] 14462.537511698: (+67111) sched_switch:         wpa_supplicant:528 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14462.555810753: (+18299055) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14462.555814031: (+3278)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14462.555824309: (+10278) sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14462.565878716: (+10054407) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14462.565882087: (+3371)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14462.565891698: (+9611)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14462.585461179: (+19569481) sched_wakeup:         kworker/2:0:2873 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14462.585466290: (+5111)  sched_switch:         task_server.a:2961 [120] R ==> kworker/2:0:2873 [120]
     kworker/2:0-2873  [002] 14462.585477216: (+10926) sched_switch:         kworker/2:0:2873 [120] W ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14462.605831809: (+20354593) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14462.605835086: (+3277)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14462.605844624: (+9538)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14462.615898716: (+10054092) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14462.615902012: (+3296)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14462.615911475: (+9463)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14462.655851975: (+39940500) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14462.655855771: (+3796)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14462.655865401: (+9630)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14462.665919808: (+10054407) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14462.665922938: (+3130)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14462.665932568: (+9630)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14462.705873975: (+39941407) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14462.705877308: (+3333)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14462.705886456: (+9148)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14462.715940475: (+10054019) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14462.715943753: (+3278)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14462.715953197: (+9444)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14462.755892530: (+39939333) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14462.755895790: (+3260)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14462.755904864: (+9074)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14462.765959734: (+10054870) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14462.765963160: (+3426)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
