CPU 3 is empty
cpus=4
 task_client_B.a-2965  [000] 14461.426506313:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:000
           ngrok-555   [000] 14461.706165108: (+13963) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
           ngrok-555   [000] 14461.706177238: (+12130) sched_switch:         ngrok:555 [120] S ==> ngrok:552 [120]
           ngrok-552   [000] 14461.706187331: (+10093) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
           ngrok-552   [000] 14461.706193886: (+6555)  sched_switch:         ngrok:552 [120] S ==> ngrok:555 [120]
           ngrok-555   [000] 14461.706214034: (+20148) sched_switch:         ngrok:555 [120] S ==> task_client_B.a:2965 [120]
   task_server.a-2961  [002] 14461.715516868: (+9302834) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14461.715520164: (+3296)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14461.715529775: (+9611)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
 task_client_B.a-2965  [000] 14461.755282997: (+39753222) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14461.755286756: (+3759)  sched_switch:         task_client_B.a:2965 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14461.755300868: (+14112) sched_switch:         ngrok:555 [120] S ==> task_client_B.a:2965 [120]
   task_server.a-2961  [002] 14461.755471145: (+170277) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14461.755474330: (+3185)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14461.755483423: (+9093)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
 task_client_B.a-2965  [000] 14461.756349664: (+866241) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14461.756353756: (+4092)  sched_switch:         task_client_B.a:2965 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14461.756367053: (+13297) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
           ngrok-555   [000] 14461.756377182: (+10129) sched_switch:         ngrok:555 [120] S ==> ngrok:552 [120]
           ngrok-552   [000] 14461.756387293: (+10111) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
           ngrok-552   [000] 14461.756393738: (+6445)  sched_switch:         ngrok:552 [120] S ==> ngrok:555 [120]
           ngrok-555   [000] 14461.756412645: (+18907) sched_switch:         ngrok:555 [120] S ==> task_client_B.a:2965 [120]
   task_server.a-2961  [002] 14461.765538275: (+9125630) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14461.765541590: (+3315)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14461.765551219: (+9629)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
 task_client_A.a-2963  [001] 14461.767311108: (+1759889) sched_wakeup:         jbd2/mmcblk0p2-:93 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14461.767314682: (+3574)  sched_switch:         task_client_A.a:2963 [120] R ==> jbd2/mmcblk0p2-:93 [120]
