CPU 3 is empty
cpus=4
       trace-cmd-2457  [001]  9116.195626204:          sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.267708981: (+6611)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.267711463: (+2482)  sched_switch:         task_server.a:2393 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9116.267726833: (+15370) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001]  9116.267737278: (+10445) sched_switch:         kworker/1:1H:91 [100] W ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001]  9116.267758444: (+21166) sched_wakeup:         stress:2466 [120]<CANT FIND FIELD success> CPU:001
     ksoftirqd/1-18    [001]  9116.267767444: (+9000)  sched_switch:         ksoftirqd/1:18 [120] S ==> stress:2466 [120]
          stress-2466  [001]  9116.267774315: (+6871)  sched_switch:         stress:2466 [120] D ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.272935741: (+5161426) sched_wakeup:         stress:2466 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.272993500: (+57759) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9116.273036241: (+42741) sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:001
          stress-2466  [001]  9116.273055055: (+18814) sched_switch:         stress:2466 [120] D ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [001]  9116.273169963: (+114908) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
    kworker/u8:2-2035  [001]  9116.273174981: (+5018)  sched_switch:         kworker/u8:2:2035 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9116.273206018: (+31037) sched_switch:         kworker/1:1H:91 [100] W ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [001]  9116.273211889: (+5871)  sched_wakeup:         stress:2466 [120]<CANT FIND FIELD success> CPU:001
    kworker/u8:2-2035  [001]  9116.273225926: (+14037) sched_switch:         kworker/u8:2:2035 [120] W ==> stress:2466 [120]
          stress-2466  [001]  9116.273234018: (+8092)  sched_switch:         stress:2466 [120] D ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.275311796: (+2077778) sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.275321667: (+9871)  sched_switch:         task_server.a:2393 [120] R ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [001]  9116.275377167: (+55500) sched_wakeup:         stress:2466 [120]<CANT FIND FIELD success> CPU:001
    kworker/u8:2-2035  [001]  9116.275384352: (+7185)  sched_switch:         kworker/u8:2:2035 [120] W ==> stress:2466 [120]
          stress-2466  [001]  9116.275436222: (+51870) sched_switch:         stress:2466 [120] D ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.275630667: (+194445) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9116.275664167: (+33500) sched_switch:         stress:2463 [120] D ==> stress:2462 [120]
          stress-2462  [001]  9116.280155185: (+4491018) sched_wakeup:         stress:2463 [120]<CANT FIND FIELD success> CPU:001
          stress-2462  [001]  9116.280158130: (+2945)  sched_wakeup:         stress:2466 [120]<CANT FIND FIELD success> CPU:001
          stress-2462  [001]  9116.280160852: (+2722)  sched_switch:         stress:2462 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9116.280212592: (+51740) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-2463  [001]  9116.280217648: (+5056)  sched_switch:         stress:2463 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9116.280244074: (+26426) sched_switch:         kworker/1:1H:91 [100] D ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.280639481: (+395407) sched_switch:         task_server.a:2393 [120] R ==> stress:2463 [120]
          stress-2463  [001]  9116.280655870: (+16389) sched_switch:         stress:2463 [120] D ==> stress:2466 [120]
          stress-2466  [001]  9116.280668241: (+12371) sched_switch:         stress:2466 [120] D ==> stress:2467 [120]
          stress-2467  [001]  9116.282285704: (+1617463) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-2467  [001]  9116.282290944: (+5240)  sched_switch:         stress:2467 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9116.282313778: (+22834) sched_switch:         kworker/1:1H:91 [100] R ==> stress:2467 [120]
          stress-2467  [001]  9116.282319000: (+5222)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-2467  [001]  9116.282321852: (+2852)  sched_switch:         stress:2467 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9116.282340204: (+18352) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001]  9116.282362000: (+21796) sched_switch:         kworker/1:1H:91 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001]  9116.282395592: (+33592) sched_wakeup:         stress:2463 [120]<CANT FIND FIELD success> CPU:001
     ksoftirqd/1-18    [001]  9116.282409889: (+14297) sched_switch:         ksoftirqd/1:18 [120] S ==> stress:2463 [120]
