CPU 3 is empty
cpus=4
       trace-cmd-2457  [001]  9116.195626204:          sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-2397  [000]  9116.199525741: (+8759)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.199529352: (+3611)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.199538519: (+9167)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.199547500: (+8981)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.199551037: (+3537)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.199560519: (+9482)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.199568834: (+8315)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.199573019: (+4185)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
          stress-2461  [002]  9116.199605241: (+32222) sched_switch:         stress:2461 [120] R ==> task_client_A.a:2395 [120]
    kworker/u9:3-569   [000]  9116.199615926: (+10685) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.199625611: (+9685)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.199629241: (+3630)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.199644185: (+14944) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.199652815: (+8630)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.199656556: (+3741)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.199665426: (+8870)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.199673778: (+8352)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.199677296: (+3518)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.199686352: (+9056)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.199694759: (+8407)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.199698500: (+3741)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.199707352: (+8852)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.199718278: (+10926) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
