CPU 3 is empty
cpus=4
          stress-2464  [000]  9116.198218130:          sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
    kworker/u9:3-569   [000]  9116.199615926: (+42907) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.199625611: (+9685)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.199629241: (+3630)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.199644185: (+14944) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.199652815: (+8630)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.199656556: (+3741)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.199665426: (+8870)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.199673778: (+8352)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.199677296: (+3518)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.199686352: (+9056)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.199694759: (+8407)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.199698500: (+3741)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.199707352: (+8852)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.199718278: (+10926) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.199721871: (+3593)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.199730667: (+8796)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.199739074: (+8407)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.199742648: (+3574)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.199751315: (+8667)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.199759611: (+8296)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.199763204: (+3593)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.199776963: (+13759) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.199785667: (+8704)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.199789482: (+3815)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.199798222: (+8740)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.199806482: (+8260)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.199810148: (+3666)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.199819204: (+9056)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.199827537: (+8333)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
