CPU 3 is empty
cpus=4
          stress-3035  [001] 14483.547264081:          sched_wakeup:         kworker/u8:2:2863 [120]<CANT FIND FIELD success> CPU:001
          stress-3035  [001] 14483.575874432: (+912037) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
          stress-3030  [000] 14483.575874840: (+408)   sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          stress-3035  [001] 14483.575878821: (+3981)  sched_switch:         stress:3035 [120] R ==> rcu_preempt:13 [120]
          stress-3030  [000] 14483.575884173: (+5352)  sched_switch:         stress:3030 [120] R ==> brcmf_wdog/mmc1:237 [120]
     rcu_preempt-13    [001] 14483.575900006: (+15833) sched_switch:         rcu_preempt:13 [120] W ==> task_client_A.a:2963 [120]
 brcmf_wdog/mmc1-237   [000] 14483.575912469: (+12463) sched_switch:         brcmf_wdog/mmc1:237 [120] D ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14483.575927673: (+15204) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14483.575932118: (+4445)  sched_switch:         task_client_B.a:2965 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14483.575939766: (+7648)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> task_client_B.a:2965 [120]
 task_client_A.a-2963  [001] 14483.576599303: (+659537) sched_switch:         task_client_A.a:2963 [120] R ==> stress:3028 [120]
          stress-3028  [001] 14483.576626136: (+26833) sched_switch:         stress:3028 [120] D ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14483.576643358: (+17222) sched_switch:         task_client_A.a:2963 [120] R ==> stress:3035 [120]
   task_server.a-2961  [002] 14483.576958544: (+315186) sched_switch:         task_server.a:2961 [120] R ==> stress:3036 [120]
          stress-3035  [001] 14483.576971599: (+13055) sched_wakeup:         stress:3028 [120]<CANT FIND FIELD success> CPU:001
          stress-3035  [001] 14483.576998155: (+26556) sched_wakeup:         jbd2/mmcblk0p2-:93 [120]<CANT FIND FIELD success> CPU:001
          stress-3035  [001] 14483.577001192: (+3037)  sched_switch:         stress:3035 [120] R ==> jbd2/mmcblk0p2-:93 [120]
          stress-3036  [002] 14483.577013877: (+12685) sched_switch:         stress:3036 [120] D ==> stress:3029 [120]
