CPU 3 is empty
cpus=4
 task_client_B.a-3362  [001] 14786.320756129:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-3362  [001] 14786.414597722: (+1289871) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3429 [120]
          stress-3429  [001] 14786.417165888: (+2568166) sched_wakeup:         stress:3433 [120]<CANT FIND FIELD success> CPU:001
          stress-3429  [001] 14786.417172296: (+6408)  sched_switch:         stress:3429 [120] R ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.417193777: (+21481) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-3362  [001] 14786.417197425: (+3648)  sched_switch:         task_client_B.a:3362 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14786.417238259: (+40834) sched_switch:         kworker/u8:1:2871 [120] W ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.417679462: (+441203) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-3362  [001] 14786.417683444: (+3982)  sched_switch:         task_client_B.a:3362 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14786.417704333: (+20889) sched_switch:         ngrok:515 [120] S ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.418478870: (+774537) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3433 [120]
          stress-3433  [001] 14786.418486055: (+7185)  sched_wakeup:         stress:3428 [120]<CANT FIND FIELD success> CPU:001
          stress-3433  [001] 14786.421309907: (+2823852) sched_switch:         stress:3433 [120] R ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.422565444: (+1255537) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3428 [120]
          stress-3428  [001] 14786.425310110: (+2744666) sched_switch:         stress:3428 [120] R ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.426530259: (+1220149) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3428 [120]
          stress-3428  [001] 14786.427754555: (+1224296) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          stress-3428  [001] 14786.427758759: (+4204)  sched_switch:         stress:3428 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14786.427770981: (+12222) sched_switch:         ngrok:515 [120] S ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.428312722: (+541741) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3433 [120]
          stress-3433  [001] 14786.433309073: (+4996351) sched_switch:         stress:3433 [120] R ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.435541999: (+2232926) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3428 [120]
          stress-3428  [001] 14786.441314870: (+5772871) sched_switch:         stress:3428 [120] R ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.443900870: (+2586000) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3433 [120]
          stress-3433  [001] 14786.443922870: (+22000) sched_switch:         stress:3433 [120] D ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.443935555: (+12685) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3432 [120]
