CPU 3 is empty
cpus=4
       trace-cmd-3422  [002] 14786.320775407:          sched_switch:         trace-cmd:3422 [120] S ==> task_server.a:3358 [120]
           ngrok-555   [002] 14786.617987276: (+22814) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14786.618007758: (+20482) sched_switch:         ngrok:555 [120] S ==> ngrok:517 [120]
           ngrok-517   [002] 14786.618023258: (+15500) sched_switch:         ngrok:517 [120] S ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.619001073: (+977815) sched_switch:         task_server.a:3358 [120] R ==> stress:3432 [120]
          stress-3432  [002] 14786.621332647: (+2331574) sched_switch:         stress:3432 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.623144573: (+1811926) sched_switch:         task_server.a:3358 [120] R ==> stress:3425 [120]
          stress-3425  [002] 14786.623206128: (+61555) sched_switch:         stress:3425 [120] D ==> stress:3424 [120]
          stress-3424  [002] 14786.629328406: (+6122278) sched_switch:         stress:3424 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.634409221: (+5080815) sched_switch:         task_server.a:3358 [120] R ==> stress:3432 [120]
          stress-3432  [002] 14786.637329813: (+2920592) sched_switch:         stress:3432 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.639860202: (+2530389) sched_switch:         task_server.a:3358 [120] R ==> stress:3428 [120]
          stress-3428  [002] 14786.645321036: (+5460834) sched_switch:         stress:3428 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.648612461: (+3291425) sched_wakeup:         stress:3425 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-3358  [002] 14786.649828517: (+1216056) sched_switch:         task_server.a:3358 [120] R ==> stress:3425 [120]
          stress-3425  [002] 14786.653321128: (+3492611) sched_switch:         stress:3425 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.656199832: (+2878704) sched_switch:         task_server.a:3358 [120] R ==> stress:3432 [120]
          stress-3432  [002] 14786.661322369: (+5122537) sched_switch:         stress:3432 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.665466165: (+4143796) sched_switch:         task_server.a:3358 [120] R ==> stress:3425 [120]
          stress-3425  [002] 14786.667063387: (+1597222) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3425  [002] 14786.667068517: (+5130)  sched_switch:         stress:3425 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14786.667106684: (+38167) sched_switch:         ngrok:555 [120] S ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.668151073: (+1044389) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-3358  [002] 14786.668154647: (+3574)  sched_switch:         task_server.a:3358 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14786.668179887: (+25240) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
